landon@el304b:~/cex_permute$ make; make test; prism -importmodel buildModel.tra,sta,lab -ctmc scripts/pro.csl
(javac -classpath "/usr/local/prism-src/prism/classes:/usr/local/prism-src/prism/lib/*:/usr/local/prism-src/prism/prism/classes:/usr/local/prism-src/prism/prism/lib/*" -d classes src/./BuildModel.java)
PRISM_DIR=/usr/local/prism-src/prism PRISM_MAINCLASS=simulate.BuildModel bin/run
bin/run: 21: [[: not found
Welcome to the model commutation tool.
Prism model loaded succesfully.
Processed 10 paths with a state count of 2898
Processed 20 paths with a state count of 3598
Processed 30 paths with a state count of 3614
Processed 40 paths with a state count of 3661
Processed 50 paths with a state count of 3886
Processed 60 paths with a state count of 4102
Processed 70 paths with a state count of 4110
Processed 80 paths with a state count of 4125
Processed 90 paths with a state count of 4357
Processed 100 paths with a state count of 4362
Processed 110 paths with a state count of 4376
Processed 120 paths with a state count of 4411
Processed 130 paths with a state count of 4411
Processed 140 paths with a state count of 4423
Processed 150 paths with a state count of 4436
Processed 160 paths with a state count of 4436
Processed 170 paths with a state count of 4461
Processed 180 paths with a state count of 4461
Processed 190 paths with a state count of 4480
Processed 200 paths with a state count of 4533
Processed 210 paths with a state count of 4533
Processed 220 paths with a state count of 4547
Processed 230 paths with a state count of 4547
Processed 240 paths with a state count of 4547
Processed 250 paths with a state count of 4547
Processed 260 paths with a state count of 4547
Processed 270 paths with a state count of 4547
Processed 280 paths with a state count of 4547
Processed 290 paths with a state count of 4547
Processed 300 paths with a state count of 4547
Processed 310 paths with a state count of 4552
Processed 320 paths with a state count of 4673
Processed 330 paths with a state count of 4673
Processed 340 paths with a state count of 4673
Processed 350 paths with a state count of 4673
Processed 360 paths with a state count of 4673
Processed 370 paths with a state count of 4673
Processed 380 paths with a state count of 4673
Processed 390 paths with a state count of 4673
Processed 400 paths with a state count of 4673
Processed 410 paths with a state count of 4673
Processed 420 paths with a state count of 4673
Processed 430 paths with a state count of 4673
Processed 440 paths with a state count of 4683
Processed 450 paths with a state count of 4693
Processed 460 paths with a state count of 4693
Processed 470 paths with a state count of 4693
Processed 480 paths with a state count of 4693
Processed 490 paths with a state count of 4713
Processed 500 paths with a state count of 4713
Processed 510 paths with a state count of 4808
Processed 520 paths with a state count of 5145
Processed 530 paths with a state count of 5150
Processed 540 paths with a state count of 5150
Processed 550 paths with a state count of 5150
Processed 560 paths with a state count of 5150
Processed 570 paths with a state count of 5150
Processed 580 paths with a state count of 5150
Processed 590 paths with a state count of 5150
Processed 600 paths with a state count of 5150
Processed 610 paths with a state count of 5150
Processed 620 paths with a state count of 5150
Processed 630 paths with a state count of 5150
Processed 640 paths with a state count of 5150
Processed 650 paths with a state count of 5150
Processed 660 paths with a state count of 5150
Processed 670 paths with a state count of 5150
Processed 680 paths with a state count of 5150
Processed 690 paths with a state count of 5150
Processed 700 paths with a state count of 5150
Processed 710 paths with a state count of 5150
Processed 720 paths with a state count of 5150
Processed 730 paths with a state count of 5150
Processed 740 paths with a state count of 5150
Processed 750 paths with a state count of 5150
Processed 760 paths with a state count of 5150
Processed 770 paths with a state count of 5150
Processed 780 paths with a state count of 5150
Processed 790 paths with a state count of 5150
Processed 800 paths with a state count of 5150
Processed 810 paths with a state count of 5150
Processed 820 paths with a state count of 5150
Processed 830 paths with a state count of 5150
Processed 840 paths with a state count of 5150
Processed 850 paths with a state count of 5150
Processed 860 paths with a state count of 5150
Processed 870 paths with a state count of 5150
Processed 880 paths with a state count of 5150
Processed 890 paths with a state count of 5150
Processed 900 paths with a state count of 5150
Processed 910 paths with a state count of 5150
Processed 920 paths with a state count of 5150
Processed 930 paths with a state count of 5155
Processed 940 paths with a state count of 5155
Processed 950 paths with a state count of 5155
Processed 960 paths with a state count of 5155
Processed 970 paths with a state count of 5155
Processed 980 paths with a state count of 5155
Processed 990 paths with a state count of 5155
Processed 1000 paths with a state count of 5155
Processed 1010 paths with a state count of 5155
Processed 1020 paths with a state count of 5155
Processed 1030 paths with a state count of 5185
Processed 1040 paths with a state count of 5185
Processed 1050 paths with a state count of 5185
Processed 1060 paths with a state count of 5185
Processed 1070 paths with a state count of 5185
Processed 1080 paths with a state count of 5185
Processed 1090 paths with a state count of 5185
Processed 1100 paths with a state count of 5185
Processed 1110 paths with a state count of 5185
Processed 1120 paths with a state count of 5185
Processed 1130 paths with a state count of 5185
Processed 1140 paths with a state count of 5185
Processed 1150 paths with a state count of 5185
Processed 1160 paths with a state count of 5185
Processed 1170 paths with a state count of 5185
Processed 1180 paths with a state count of 5185
Processed 1190 paths with a state count of 5185
Processed 1200 paths with a state count of 5185
Processed 1210 paths with a state count of 5185
Processed 1220 paths with a state count of 5190
Processed 1230 paths with a state count of 5190
Processed 1240 paths with a state count of 5190
Processed 1250 paths with a state count of 5190
Processed 1260 paths with a state count of 5190
Processed 1270 paths with a state count of 5190
Processed 1280 paths with a state count of 5190
Processed 1290 paths with a state count of 5190
Processed 1300 paths with a state count of 5190
Processed 1310 paths with a state count of 5190
Processed 1320 paths with a state count of 5190
Processed 1330 paths with a state count of 5190
Processed 1340 paths with a state count of 5190
Processed 1350 paths with a state count of 5190
Processed 1360 paths with a state count of 5190
Processed 1370 paths with a state count of 5190
Processed 1380 paths with a state count of 5190
Processed 1390 paths with a state count of 5190
Processed 1400 paths with a state count of 5190
Processed 1410 paths with a state count of 5190
Processed 1420 paths with a state count of 5190
Processed 1430 paths with a state count of 5190
Processed 1440 paths with a state count of 5210
Processed 1450 paths with a state count of 5210
Processed 1460 paths with a state count of 5210
Processed 1470 paths with a state count of 5210
Processed 1480 paths with a state count of 5210
Processed 1490 paths with a state count of 5210
Processed 1500 paths with a state count of 5210
Processed 1510 paths with a state count of 5210
Processed 1520 paths with a state count of 5210
Processed 1530 paths with a state count of 5210
Processed 1540 paths with a state count of 5210
Processed 1550 paths with a state count of 5210
Processed 1560 paths with a state count of 5210
Processed 1570 paths with a state count of 5210
Processed 1580 paths with a state count of 5210
Processed 1590 paths with a state count of 5210
Processed 1600 paths with a state count of 5214
Processed 1610 paths with a state count of 5214
Processed 1620 paths with a state count of 5214
Processed 1630 paths with a state count of 5214
Processed 1640 paths with a state count of 5214
Processed 1650 paths with a state count of 5214
Processed 1660 paths with a state count of 5214
Processed 1670 paths with a state count of 5214
Processed 1680 paths with a state count of 5214
